"idRam";"registro";"hora"
1353;67.2;"2022-10-24 22:11:24"
1354;67.1;"2022-10-24 22:11:25"
1355;67.1;"2022-10-24 22:11:26"
1356;67.0;"2022-10-24 22:11:27"
1357;67.0;"2022-10-24 22:11:29"
1358;66.9;"2022-10-24 22:11:30"
1359;67.0;"2022-10-24 22:11:31"
1360;67.2;"2022-10-24 22:11:32"
1361;67.3;"2022-10-24 22:11:33"
1362;67.2;"2022-10-24 22:11:34"
1363;67.1;"2022-10-24 22:11:36"
1364;67.1;"2022-10-24 22:11:37"
1365;67.1;"2022-10-24 22:11:38"
1366;67.2;"2022-10-24 22:11:39"
1367;67.1;"2022-10-24 22:11:40"
1368;67.1;"2022-10-24 22:11:41"
1369;66.8;"2022-10-24 22:11:42"
1370;67.2;"2022-10-24 22:11:43"
1371;67.2;"2022-10-24 22:11:44"
1372;67.2;"2022-10-24 22:11:45"
1373;67.2;"2022-10-24 22:11:46"
1374;67.0;"2022-10-24 22:11:48"
1375;66.9;"2022-10-24 22:11:49"
1376;66.9;"2022-10-24 22:11:50"
1377;66.8;"2022-10-24 22:11:51"
1378;67.1;"2022-10-24 22:11:52"
1379;67.0;"2022-10-24 22:11:53"
1380;67.1;"2022-10-24 22:11:54"
1381;67.3;"2022-10-24 22:11:55"
1382;67.3;"2022-10-24 22:11:56"
1383;66.9;"2022-10-24 22:11:57"
1384;66.9;"2022-10-24 22:11:58"
1385;66.9;"2022-10-24 22:11:59"
1386;66.9;"2022-10-24 22:12:00"
1387;66.8;"2022-10-24 22:12:01"
1388;66.8;"2022-10-24 22:12:02"
1389;66.8;"2022-10-24 22:12:04"
1390;66.8;"2022-10-24 22:12:05"
1391;66.7;"2022-10-24 22:12:06"
1392;66.6;"2022-10-24 22:12:07"
1393;66.7;"2022-10-24 22:12:08"
1394;66.8;"2022-10-24 22:12:09"
1395;66.8;"2022-10-24 22:12:10"
1396;66.7;"2022-10-24 22:12:11"
1397;66.7;"2022-10-24 22:12:12"
1398;66.7;"2022-10-24 22:12:13"
1399;66.6;"2022-10-24 22:12:14"
1400;66.6;"2022-10-24 22:12:15"
1401;66.7;"2022-10-24 22:12:16"
1402;66.7;"2022-10-24 22:12:18"
1403;66.8;"2022-10-24 22:12:19"
1404;66.7;"2022-10-24 22:12:20"
1405;66.8;"2022-10-24 22:12:21"
1406;66.8;"2022-10-24 22:12:22"
1407;66.9;"2022-10-24 22:12:23"
1408;66.9;"2022-10-24 22:12:24"
1409;66.9;"2022-10-24 22:12:25"
1410;66.9;"2022-10-24 22:12:26"
1411;67.0;"2022-10-24 22:12:27"
1412;66.9;"2022-10-24 22:12:28"
1413;66.8;"2022-10-24 22:12:30"
1414;66.8;"2022-10-24 22:12:31"
1415;66.8;"2022-10-24 22:12:32"
1416;66.8;"2022-10-24 22:12:33"
1417;66.6;"2022-10-24 22:12:34"
1418;66.9;"2022-10-24 22:12:35"
1419;67.0;"2022-10-24 22:12:36"
1420;67.0;"2022-10-24 22:12:37"
1421;67.2;"2022-10-24 22:12:38"
1422;67.0;"2022-10-24 22:12:39"
1423;67.1;"2022-10-24 22:12:40"
1424;67.0;"2022-10-24 22:12:41"
1425;67.2;"2022-10-24 22:12:42"
1426;67.0;"2022-10-24 22:12:43"
1427;67.0;"2022-10-24 22:12:44"
1428;67.2;"2022-10-24 22:12:46"
1429;67.1;"2022-10-24 22:12:47"
1430;67.1;"2022-10-24 22:12:48"
1431;67.0;"2022-10-24 22:12:49"
1432;67.0;"2022-10-24 22:12:50"
1433;67.1;"2022-10-24 22:12:51"
1434;66.8;"2022-10-24 22:12:52"
1435;67.0;"2022-10-24 22:12:53"
1436;66.9;"2022-10-24 22:12:55"
1437;67.3;"2022-10-24 22:12:56"
1438;67.4;"2022-10-24 22:12:57"
1439;67.3;"2022-10-24 22:12:58"
1440;67.2;"2022-10-24 22:13:00"
1441;67.2;"2022-10-24 22:13:01"
1442;66.8;"2022-10-24 22:13:02"
1443;67.1;"2022-10-24 22:13:03"
1444;67.1;"2022-10-24 22:13:04"
1445;67.2;"2022-10-24 22:13:06"
1446;67.2;"2022-10-24 22:13:07"
1447;67.3;"2022-10-24 22:13:08"
1448;67.2;"2022-10-24 22:13:09"
1449;66.8;"2022-10-24 22:13:10"
1450;66.8;"2022-10-24 22:13:11"
1451;66.8;"2022-10-24 22:13:12"
1452;66.9;"2022-10-24 22:13:14"
1453;67.1;"2022-10-24 22:13:15"
1454;66.7;"2022-10-24 22:13:16"
1455;66.8;"2022-10-24 22:13:17"
1456;66.8;"2022-10-24 22:13:18"
1457;66.8;"2022-10-24 22:13:19"
1458;66.6;"2022-10-24 22:13:20"
1459;66.6;"2022-10-24 22:13:21"
1460;66.8;"2022-10-24 22:13:22"
1461;66.9;"2022-10-24 22:13:24"
1462;66.9;"2022-10-24 22:13:25"
1463;67.1;"2022-10-24 22:13:26"
1464;67.3;"2022-10-24 22:13:27"
1465;67.4;"2022-10-24 22:13:28"
1466;67.5;"2022-10-24 22:13:29"
1467;67.4;"2022-10-24 22:13:30"
1468;67.1;"2022-10-24 22:13:32"
1469;66.9;"2022-10-24 22:13:33"
1470;67.5;"2022-10-24 22:13:34"
1471;67.2;"2022-10-24 22:13:35"
1472;67.3;"2022-10-24 22:13:36"
1473;66.9;"2022-10-24 22:13:37"
1474;66.9;"2022-10-24 22:13:38"
1475;67.1;"2022-10-24 22:13:39"
1476;67.2;"2022-10-24 22:13:41"
1477;67.3;"2022-10-24 22:13:42"
1478;66.9;"2022-10-24 22:13:43"
1479;67.1;"2022-10-24 22:13:44"
1480;67.1;"2022-10-24 22:13:45"
