"idCpu";"registro";"hora"
384;22.6;"2022-10-24 21:52:47"
385;22.9;"2022-10-24 21:52:48"
386;18.8;"2022-10-24 21:52:49"
387;23.6;"2022-10-24 21:52:51"
388;34.5;"2022-10-24 21:52:52"
389;26.1;"2022-10-24 21:52:53"
390;21.6;"2022-10-24 21:52:54"
391;20.8;"2022-10-24 21:52:55"
392;27.6;"2022-10-24 21:52:56"
393;21.2;"2022-10-24 21:52:57"
394;31.0;"2022-10-24 21:52:58"
395;26.8;"2022-10-24 21:52:59"
396;23.8;"2022-10-24 21:53:01"
397;24.8;"2022-10-24 21:53:02"
398;22.3;"2022-10-24 21:53:03"
399;21.6;"2022-10-24 21:53:04"
400;26.7;"2022-10-24 21:53:05"
401;24.9;"2022-10-24 21:53:06"
402;23.8;"2022-10-24 21:53:07"
403;31.0;"2022-10-24 21:53:08"
404;26.3;"2022-10-24 21:53:09"
405;30.2;"2022-10-24 21:53:11"
406;47.3;"2022-10-24 21:53:12"
407;39.6;"2022-10-24 21:53:13"
408;39.7;"2022-10-24 21:53:14"
409;57.6;"2022-10-24 21:53:15"
410;35.8;"2022-10-24 21:53:16"
411;33.2;"2022-10-24 21:53:17"
412;22.4;"2022-10-24 21:53:18"
413;20.7;"2022-10-24 21:53:19"
414;22.6;"2022-10-24 21:53:20"
415;27.1;"2022-10-24 21:53:21"
416;30.9;"2022-10-24 21:53:22"
417;26.4;"2022-10-24 21:53:23"
418;21.5;"2022-10-24 21:53:25"
419;20.0;"2022-10-24 21:53:26"
420;21.8;"2022-10-24 21:53:27"
421;18.6;"2022-10-24 21:53:28"
422;23.4;"2022-10-24 21:53:29"
423;28.9;"2022-10-24 21:53:30"
424;24.6;"2022-10-24 21:53:31"
425;23.0;"2022-10-24 21:53:32"
426;15.0;"2022-10-24 21:53:34"
427;23.7;"2022-10-24 21:53:35"
428;15.9;"2022-10-24 21:53:36"
429;16.0;"2022-10-24 21:53:37"
430;21.9;"2022-10-24 21:53:38"
431;25.0;"2022-10-24 21:53:39"
432;19.1;"2022-10-24 21:53:40"
433;19.5;"2022-10-24 21:53:41"
434;20.3;"2022-10-24 21:53:42"
435;25.1;"2022-10-24 21:53:43"
436;22.3;"2022-10-24 21:53:45"
437;18.4;"2022-10-24 21:53:46"
438;22.1;"2022-10-24 21:53:47"
439;22.5;"2022-10-24 21:53:48"
440;22.1;"2022-10-24 21:53:49"
441;21.1;"2022-10-24 21:53:50"
442;16.7;"2022-10-24 21:53:51"
443;33.0;"2022-10-24 21:53:52"
444;19.5;"2022-10-24 21:53:53"
445;20.5;"2022-10-24 21:53:54"
446;21.0;"2022-10-24 21:53:55"
447;26.5;"2022-10-24 21:53:57"
448;16.9;"2022-10-24 21:53:58"
449;27.3;"2022-10-24 21:53:59"
450;34.5;"2022-10-24 21:54:00"
451;28.4;"2022-10-24 21:54:01"
452;18.3;"2022-10-24 21:54:02"
453;8.0;"2022-10-24 21:54:03"
454;11.1;"2022-10-24 21:54:04"
455;12.5;"2022-10-24 21:54:05"
456;12.3;"2022-10-24 21:54:06"
457;5.8;"2022-10-24 21:54:07"
458;9.7;"2022-10-24 21:54:08"
459;11.7;"2022-10-24 21:54:10"
460;16.3;"2022-10-24 21:54:11"
461;8.6;"2022-10-24 21:54:12"
462;14.0;"2022-10-24 21:54:13"
463;16.1;"2022-10-24 21:54:14"
464;10.4;"2022-10-24 21:54:15"
465;11.0;"2022-10-24 21:54:16"
466;13.4;"2022-10-24 21:54:17"
467;18.0;"2022-10-24 21:54:18"
468;9.8;"2022-10-24 21:54:19"
469;8.6;"2022-10-24 21:54:20"
470;10.9;"2022-10-24 21:54:21"
471;17.3;"2022-10-24 21:54:23"
472;8.8;"2022-10-24 21:54:24"
473;21.4;"2022-10-24 21:54:25"
474;20.1;"2022-10-24 21:54:26"
475;41.9;"2022-10-24 21:54:27"
476;14.4;"2022-10-24 21:54:28"
477;21.2;"2022-10-24 21:54:29"
478;16.7;"2022-10-24 21:54:30"
479;41.2;"2022-10-24 21:54:31"
480;82.0;"2022-10-24 21:54:33"
481;68.5;"2022-10-24 21:54:34"
482;28.2;"2022-10-24 21:54:35"
483;10.5;"2022-10-24 21:54:36"
484;5.4;"2022-10-24 21:54:37"
485;10.0;"2022-10-24 21:54:38"
486;19.8;"2022-10-24 21:54:39"
487;4.3;"2022-10-24 21:54:40"
488;55.4;"2022-10-24 21:54:41"
489;67.8;"2022-10-24 21:54:42"
490;87.1;"2022-10-24 21:54:44"
491;65.5;"2022-10-24 21:54:45"
492;80.1;"2022-10-24 21:54:46"
493;94.6;"2022-10-24 21:54:47"
494;70.7;"2022-10-24 21:54:48"
495;36.5;"2022-10-24 21:54:49"
496;25.3;"2022-10-24 21:54:51"
497;59.2;"2022-10-24 21:54:52"
498;25.0;"2022-10-24 21:54:53"
499;19.7;"2022-10-24 21:54:54"
500;25.3;"2022-10-24 21:54:55"
501;21.3;"2022-10-24 21:54:56"
502;45.2;"2022-10-24 21:54:57"
503;17.4;"2022-10-24 21:54:58"
504;27.2;"2022-10-24 21:54:59"
505;20.3;"2022-10-24 21:55:01"
506;23.7;"2022-10-24 21:55:02"
507;32.6;"2022-10-24 21:55:03"
508;42.6;"2022-10-24 21:55:04"
509;8.1;"2022-10-24 21:55:05"
510;12.3;"2022-10-24 21:55:06"
511;10.5;"2022-10-24 21:55:07"
512;10.2;"2022-10-24 21:55:08"
513;10.1;"2022-10-24 21:55:10"
514;8.8;"2022-10-24 21:55:11"
515;11.8;"2022-10-24 21:55:12"
516;10.0;"2022-10-24 21:55:13"
517;10.5;"2022-10-24 21:55:14"
518;13.2;"2022-10-24 21:55:15"
519;15.9;"2022-10-24 21:55:16"
520;23.3;"2022-10-24 21:55:17"
521;25.4;"2022-10-24 21:55:18"
522;55.1;"2022-10-24 21:55:19"
523;36.8;"2022-10-24 21:55:20"
524;34.8;"2022-10-24 21:55:21"
525;10.5;"2022-10-24 21:55:23"
526;8.6;"2022-10-24 21:55:24"
527;11.2;"2022-10-24 21:55:25"
528;8.0;"2022-10-24 21:55:26"
529;11.9;"2022-10-24 21:55:27"
530;8.1;"2022-10-24 21:55:28"
531;21.3;"2022-10-24 21:55:29"
532;18.7;"2022-10-24 21:55:30"
533;7.7;"2022-10-24 21:55:31"
534;16.5;"2022-10-24 21:55:33"
535;10.5;"2022-10-24 21:55:34"
536;10.5;"2022-10-24 21:55:35"
537;19.3;"2022-10-24 21:55:36"
538;33.1;"2022-10-24 21:55:37"
539;17.8;"2022-10-24 21:55:38"
540;28.7;"2022-10-24 21:55:39"
541;19.8;"2022-10-24 21:55:40"
542;23.6;"2022-10-24 21:55:41"
543;21.4;"2022-10-24 21:55:42"
544;19.7;"2022-10-24 21:55:43"
545;12.6;"2022-10-24 21:55:44"
546;17.2;"2022-10-24 21:55:45"
547;45.3;"2022-10-24 21:55:47"
548;27.3;"2022-10-24 21:55:48"
549;23.3;"2022-10-24 21:55:49"
550;20.3;"2022-10-24 21:55:50"
551;26.6;"2022-10-24 21:55:51"
552;17.1;"2022-10-24 21:55:53"
553;20.2;"2022-10-24 21:55:54"
554;16.3;"2022-10-24 21:55:55"
555;21.1;"2022-10-24 21:55:56"
556;26.5;"2022-10-24 21:55:57"
557;16.0;"2022-10-24 21:55:58"
558;26.4;"2022-10-24 21:55:59"
559;18.1;"2022-10-24 21:56:01"
560;22.5;"2022-10-24 21:56:02"
561;26.5;"2022-10-24 21:56:03"
562;30.9;"2022-10-24 21:56:04"
563;31.4;"2022-10-24 21:56:05"
564;51.4;"2022-10-24 21:56:07"
565;33.3;"2022-10-24 21:56:08"
566;17.4;"2022-10-24 21:56:09"
567;35.4;"2022-10-24 21:56:10"
568;37.2;"2022-10-24 21:56:11"
569;27.8;"2022-10-24 21:56:12"
570;30.7;"2022-10-24 21:56:14"
571;6.2;"2022-10-24 21:56:15"
572;8.0;"2022-10-24 21:56:16"
573;10.5;"2022-10-24 21:56:17"
574;13.0;"2022-10-24 21:56:18"
575;12.4;"2022-10-24 21:56:19"
576;19.8;"2022-10-24 21:56:20"
577;18.8;"2022-10-24 21:56:21"
578;24.2;"2022-10-24 21:56:23"
579;14.2;"2022-10-24 21:56:24"
580;15.3;"2022-10-24 21:56:25"
581;20.4;"2022-10-24 21:56:26"
582;9.2;"2022-10-24 21:56:27"
583;5.4;"2022-10-24 21:56:28"
584;11.5;"2022-10-24 21:56:29"
585;15.0;"2022-10-24 21:56:30"
586;14.6;"2022-10-24 21:56:31"
587;22.5;"2022-10-24 21:56:32"
588;25.1;"2022-10-24 21:56:34"
589;32.3;"2022-10-24 21:56:35"
590;44.3;"2022-10-24 21:56:36"
591;34.3;"2022-10-24 21:56:37"
592;21.8;"2022-10-24 21:56:38"
593;22.1;"2022-10-24 21:56:39"
594;31.9;"2022-10-24 21:56:40"
595;17.2;"2022-10-24 21:56:41"
596;18.8;"2022-10-24 21:56:42"
597;5.0;"2022-10-24 21:56:43"
598;6.6;"2022-10-24 21:56:45"
599;12.3;"2022-10-24 21:56:46"
600;13.9;"2022-10-24 21:56:47"
601;12.5;"2022-10-24 21:56:48"
602;20.8;"2022-10-24 21:56:49"
603;26.2;"2022-10-24 21:56:50"
604;19.7;"2022-10-24 21:56:52"
605;36.9;"2022-10-24 21:56:53"
606;19.8;"2022-10-24 21:56:54"
607;12.8;"2022-10-24 21:56:55"
608;21.4;"2022-10-24 21:56:56"
609;17.9;"2022-10-24 21:56:57"
610;11.2;"2022-10-24 21:56:58"
611;10.3;"2022-10-24 21:56:59"
612;13.5;"2022-10-24 21:57:00"
613;9.3;"2022-10-24 21:57:01"
614;11.1;"2022-10-24 21:57:02"
615;12.1;"2022-10-24 21:57:03"
616;12.5;"2022-10-24 21:57:05"
617;12.3;"2022-10-24 21:57:06"
618;18.1;"2022-10-24 21:57:07"
619;18.4;"2022-10-24 21:57:08"
620;9.5;"2022-10-24 21:57:09"
621;15.8;"2022-10-24 21:57:10"
622;8.8;"2022-10-24 21:57:11"
623;22.6;"2022-10-24 21:57:12"
624;15.1;"2022-10-24 21:57:13"
625;12.2;"2022-10-24 21:57:15"
626;15.4;"2022-10-24 21:57:16"
627;25.1;"2022-10-24 21:57:17"
628;24.3;"2022-10-24 21:57:18"
629;28.0;"2022-10-24 21:57:19"
630;38.8;"2022-10-24 21:57:29"
631;21.2;"2022-10-24 21:57:30"
632;32.6;"2022-10-24 21:57:31"
633;17.8;"2022-10-24 21:57:32"
634;12.1;"2022-10-24 21:57:33"
635;18.3;"2022-10-24 21:57:34"
636;28.0;"2022-10-24 21:57:36"
637;27.0;"2022-10-24 21:57:37"
638;20.8;"2022-10-24 21:57:38"
639;21.6;"2022-10-24 21:57:39"
640;20.8;"2022-10-24 21:57:40"
641;30.8;"2022-10-24 21:57:41"
642;12.4;"2022-10-24 21:57:42"
643;22.4;"2022-10-24 21:57:43"
644;10.3;"2022-10-24 21:57:44"
645;16.9;"2022-10-24 21:57:46"
646;20.9;"2022-10-24 21:57:47"
647;20.6;"2022-10-24 21:57:48"
648;25.1;"2022-10-24 21:57:49"
649;11.7;"2022-10-24 21:57:50"
650;13.5;"2022-10-24 21:57:51"
651;30.3;"2022-10-24 21:57:52"
652;15.9;"2022-10-24 21:57:53"
653;15.1;"2022-10-24 21:57:54"
654;23.5;"2022-10-24 21:57:55"
655;5.3;"2022-10-24 21:57:56"
656;16.8;"2022-10-24 21:57:57"
657;15.6;"2022-10-24 21:57:58"
658;10.4;"2022-10-24 21:57:59"
659;11.9;"2022-10-24 21:58:00"
660;7.4;"2022-10-24 21:58:01"
661;14.1;"2022-10-24 21:58:03"
662;6.6;"2022-10-24 21:58:04"
663;12.6;"2022-10-24 21:58:05"
