"idTemp";"registro";"hora"
1023;36.0;"2022-10-24 22:44:26"
1024;37.0;"2022-10-24 22:44:28"
1025;37.0;"2022-10-24 22:44:29"
1026;41.0;"2022-10-24 22:44:30"
1027;38.0;"2022-10-24 22:44:31"
1028;37.0;"2022-10-24 22:44:32"
1029;41.0;"2022-10-24 22:44:33"
1030;43.0;"2022-10-24 22:44:34"
1031;45.0;"2022-10-24 22:44:35"
1032;46.0;"2022-10-24 22:44:36"
1033;40.0;"2022-10-24 22:44:37"
1034;41.0;"2022-10-24 22:44:38"
1035;38.0;"2022-10-24 22:44:39"
1036;38.0;"2022-10-24 22:44:40"
1037;38.0;"2022-10-24 22:44:41"
1038;39.0;"2022-10-24 22:44:42"
1039;44.0;"2022-10-24 22:44:44"
1040;38.0;"2022-10-24 22:44:45"
1041;35.0;"2022-10-24 22:44:46"
1042;39.0;"2022-10-24 22:44:47"
1043;39.0;"2022-10-24 22:44:48"
1044;40.0;"2022-10-24 22:44:49"
1045;39.0;"2022-10-24 22:44:50"
1046;38.0;"2022-10-24 22:44:51"
1047;48.0;"2022-10-24 22:44:52"
1048;40.0;"2022-10-24 22:44:53"
1049;41.0;"2022-10-24 22:44:54"
1050;40.0;"2022-10-24 22:44:56"
1051;39.0;"2022-10-24 22:44:57"
1052;47.0;"2022-10-24 22:44:58"
1053;47.0;"2022-10-24 22:44:59"
1054;45.0;"2022-10-24 22:45:00"
1055;43.0;"2022-10-24 22:45:01"
1056;41.0;"2022-10-24 22:45:02"
1057;39.0;"2022-10-24 22:45:03"
1058;48.0;"2022-10-24 22:45:04"
1059;40.0;"2022-10-24 22:45:05"
1060;40.0;"2022-10-24 22:45:07"
1061;38.0;"2022-10-24 22:45:08"
1062;45.0;"2022-10-24 22:45:09"
1063;42.0;"2022-10-24 22:45:10"
1064;43.0;"2022-10-24 22:45:11"
1065;41.0;"2022-10-24 22:45:12"
1066;38.0;"2022-10-24 22:45:13"
1067;38.0;"2022-10-24 22:45:15"
1068;38.0;"2022-10-24 22:45:16"
1069;40.0;"2022-10-24 22:45:17"
1070;38.0;"2022-10-24 22:45:18"
1071;44.0;"2022-10-24 22:45:19"
1072;42.0;"2022-10-24 22:45:20"
1073;39.0;"2022-10-24 22:45:21"
1074;44.0;"2022-10-24 22:45:22"
1075;43.0;"2022-10-24 22:45:23"
1076;39.0;"2022-10-24 22:45:25"
1077;39.0;"2022-10-24 22:45:26"
1078;44.0;"2022-10-24 22:45:27"
1079;38.0;"2022-10-24 22:45:28"
1080;38.0;"2022-10-24 22:45:29"
1081;40.0;"2022-10-24 22:45:30"
1082;37.0;"2022-10-24 22:45:31"
1083;38.0;"2022-10-24 22:45:32"
1084;37.0;"2022-10-24 22:45:33"
1085;37.0;"2022-10-24 22:45:34"
1086;41.0;"2022-10-24 22:45:35"
1087;40.0;"2022-10-24 22:45:36"
1088;38.0;"2022-10-24 22:45:38"
1089;37.0;"2022-10-24 22:45:39"
1090;38.0;"2022-10-24 22:45:40"
1091;36.0;"2022-10-24 22:45:41"
1092;41.0;"2022-10-24 22:45:42"
1093;38.0;"2022-10-24 22:45:43"
1094;36.0;"2022-10-24 22:45:44"
1095;37.0;"2022-10-24 22:45:45"
1096;43.0;"2022-10-24 22:45:47"
1097;42.0;"2022-10-24 22:45:48"
1098;43.0;"2022-10-24 22:45:49"
1099;45.0;"2022-10-24 22:45:50"
1100;38.0;"2022-10-24 22:45:51"
1101;42.0;"2022-10-24 22:45:52"
1102;48.0;"2022-10-24 22:45:53"
1103;45.0;"2022-10-24 22:45:54"
1104;44.0;"2022-10-24 22:45:55"
1105;43.0;"2022-10-24 22:45:56"
1106;37.0;"2022-10-24 22:45:57"
1107;46.0;"2022-10-24 22:45:58"
1108;38.0;"2022-10-24 22:45:59"
1109;46.0;"2022-10-24 22:46:01"
1110;46.0;"2022-10-24 22:46:02"
1111;45.0;"2022-10-24 22:46:03"
1112;37.0;"2022-10-24 22:46:04"
1113;37.0;"2022-10-24 22:46:05"
1114;37.0;"2022-10-24 22:46:06"
1115;39.0;"2022-10-24 22:46:07"
1116;39.0;"2022-10-24 22:46:08"
1117;37.0;"2022-10-24 22:46:10"
1118;44.0;"2022-10-24 22:46:11"
1119;41.0;"2022-10-24 22:46:12"
1120;40.0;"2022-10-24 22:46:13"
1121;36.0;"2022-10-24 22:46:14"
1122;37.0;"2022-10-24 22:46:15"
1123;39.0;"2022-10-24 22:46:16"
1124;46.0;"2022-10-24 22:46:17"
1125;43.0;"2022-10-24 22:46:18"
1126;46.0;"2022-10-24 22:46:19"
1127;45.0;"2022-10-24 22:46:20"
1128;46.0;"2022-10-24 22:46:21"
1129;46.0;"2022-10-24 22:46:22"
1130;48.0;"2022-10-24 22:46:24"
1131;45.0;"2022-10-24 22:46:25"
